±»»›¡ø/mAh/g,µÁ—π/V
0.0,0.8820
0.0,0.8820
0.0,0.8820
0.0,0.8820
0.0,0.8820
0.0,0.8820
0.0,0.8820
0.0,0.8820
0.0,0.8820
0.0,0.8820
0.0,0.8820
0.0,0.8820
0.0,0.8820
0.0,0.8820
0.0,0.8820
0.0,0.8820
0.0,0.8820
0.0,0.8820
0.0,0.8822
0.0,0.8822
0.0,0.8822
0.0,0.8822
0.0,1.3653
0.1,1.3653
0.0,0.7219
0.1,0.4999
0.2,0.4140
0.4,0.3668
0.5,0.3322
0.7,0.3071
0.9,0.2703
1.1,0.2551
1.2,0.2401
1.4,0.2283
1.5,0.2200
1.6,0.2125
1.8,0.2071
1.9,0.2032
2.1,0.1976
2.2,0.1935
2.3,0.1882
2.5,0.1834
2.6,0.1783
2.7,0.1727
2.9,0.1679
3.0,0.1634
3.1,0.1589
3.3,0.1541
3.4,0.1499
3.6,0.1460
3.7,0.1414
3.9,0.1383
4.0,0.1347
4.1,0.1319
4.3,0.1285
4.4,0.1260
4.5,0.1231
4.7,0.1203
4.8,0.1178
5.0,0.1152
5.1,0.1128
5.3,0.1107
5.4,0.1087
5.5,0.1068
5.7,0.1053
5.8,0.1032
5.9,0.1017
6.1,0.1004
6.2,0.0989
6.4,0.0977
6.5,0.0966
6.6,0.0953
6.8,0.0944
6.9,0.0935
7.1,0.0925
7.2,0.0918
7.3,0.0911
7.5,0.0905
7.6,0.0902
7.7,0.0898
7.9,0.0894
8.0,0.0891
8.2,0.0890
8.3,0.0890
8.4,0.0888
8.6,0.0888
8.7,0.0890
8.8,0.0891
9.0,0.0894
9.1,0.0896
9.3,0.0899
9.4,0.0904
9.6,0.0908
9.7,0.0911
9.8,0.0916
10.0,0.0922
10.1,0.0929
10.2,0.0933
10.4,0.0941
10.5,0.0949
10.7,0.0956
10.8,0.0963
11.0,0.0972
11.1,0.0978
11.2,0.0987
11.4,0.0995
11.5,0.1004
11.6,0.1012
11.8,0.1022
11.9,0.1029
12.0,0.1039
12.2,0.1048
12.3,0.1057
12.5,0.1066
12.6,0.1076
12.9,0.1096
13.0,0.1102
13.2,0.1110
13.3,0.1116
13.4,0.1125
13.6,0.1133
13.7,0.1142
13.9,0.1150
14.0,0.1158
14.1,0.1164
14.3,0.1170
14.4,0.1180
14.6,0.1186
14.7,0.1192
14.8,0.1198
15.0,0.1204
15.1,0.1212
15.2,0.1217
15.4,0.1221
15.5,0.1228
15.7,0.1232
15.8,0.1237
16.0,0.1242
16.1,0.1246
16.2,0.1251
16.4,0.1256
16.5,0.1259
16.7,0.1263
16.8,0.1266
16.9,0.1270
17.0,0.1273
17.2,0.1276
17.3,0.1279
17.5,0.1282
17.6,0.1283
17.7,0.1287
17.9,0.1288
18.0,0.1291
18.2,0.1293
18.3,0.1294
18.4,0.1296
18.6,0.1297
18.7,0.1299
18.9,0.1301
19.0,0.1301
19.1,0.1302
19.3,0.1302
19.4,0.1304
19.6,0.1304
19.7,0.1304
19.8,0.1304
20.0,0.1302
20.1,0.1302
20.2,0.1301
20.4,0.1301
20.5,0.1299
20.7,0.1297
20.8,0.1296
20.9,0.1294
21.1,0.1294
21.2,0.1291
